name|team|pos|pa|hr|r|rbi|sb|so|avg|obp|slg|war
Jacob Melton|TBR|OF|147|4|17|16|8|39|224|286|367|2
Brice Matthews|HOU|2B|77|2|9|9|3|26|220|304|383|2
Tim Tawa|ARI|2B/OF|168|5|18|18|3|42|223|291|370|2
Lenyn Sosa|CHW|2B|406|14|42|51|2|90|251|285|409|2
Oswaldo Cabrera|NYY|3B/OF|126|3|15|13|2|26|237|303|370|2
Blaine Crim|COL|1B|175|6|21|22|1|37|259|328|431|2
Bryce Teodosio|LAA|OF|252|3|26|22|11|79|219|273|320|2
Nick Yorke|PIT|2B|105|2|11|10|2|24|254|309|365|2
Jorge Mateo|ATL|SS|147|3|17|14|11|39|224|269|357|2
Ildemaro Vargas|ARI|2B/3B|91|1|9|10|1|11|251|299|356|2
Andrew Knizner|SEA|C|77|1|8|7|0|16|220|295|320|2
Nathaniel Lowe|CIN|1B|112|3|12|14|0|26|255|336|408|2
Jonah Heim|ATL|C|70|2|7|7|0|14|226|285|356|2
Andruw Monasterio|BOS|2B/3B|98|2|12|10|3|23|242|319|363|2
Walker Jenkins|MIN|OF|84|2|9|9|2|19|239|321|364|2
Myles Straw|TOR|OF|182|2|20|15|6|35|234|295|318|2
Derek Hill|CHW|OF|84|2|10|9|3|24|235|290|367|2
Nick Loftin|KCR|2B/OF|63|1|7|6|1|10|243|327|367|2
Bryce Johnson|SDP|OF|140|2|15|13|5|38|231|307|327|2
Eric Wagaman|MIN|1B|112|3|12|12|1|22|258|309|403|2
Michael Conforto|CHC|OF|91|3|10|11|0|23|227|316|397|2
Brandon Lockridge|MIL|OF|84|1|9|8|4|22|242|308|339|2
Tyler Tolbert|KCR|OF|154|2|18|14|12|40|225|282|323|1
Michael Helman|TEX|OF|84|2|10|9|2|19|217|276|355|1
Dylan Moore|PHI|2B/OF|84|3|11|9|5|25|214|307|393|1
Abimelec Ortiz|WSN|1B|273|10|32|32|1|71|229|297|398|1
Will Brennan|SFG|OF|119|2|12|12|2|17|266|309|375|1
Andrew McCutchen|TEX|OF|196|5|21|19|1|47|232|326|368|1
