name|team|role|ip|w|sv|hld|era|whip|so|hr|qs|gs|g|war
Brusdar Graterol|LAD|RP|460|3|0|5|354|1206|39|4|0|0|46|2
Nick Mears|KCR|RP|600|3|0|12|412|1328|58|7|0|0|60|2
Keider Montero|DET|RP|550|3|0|1|440|1336|46|8|2|5|33|2
Gavin Stone|LAD|RP|290|2|0|1|442|1315|26|4|1|3|15|2
Justin Lawrence|PIT|RP|580|3|1|12|395|1375|59|5|0|0|58|2
Tobias Myers|NYM|RP|750|4|0|11|417|1287|63|10|1|3|61|2
Anthony Bender|MIA|RP|610|4|1|12|390|1304|58|7|0|0|61|2
Matt Svanson|STL|RP|650|3|8|13|380|1298|59|7|0|0|65|2
Ryne Stanek|STL|RP|600|4|5|12|407|1374|61|7|0|0|60|2
Dauri Moreta||RP|340|2|0|0|387|1280|38|4|0|0|34|2
Luis García|NYM|RP|600|3|0|13|391|1355|54|6|0|0|60|2
Noah Schultz|CHW|SP|240|1|0|0|458|1439|20|3|2|5|5|2
Jack Dreyer|LAD|RP|540|3|0|12|413|1285|54|8|0|0|54|2
PJ Poulin|WSN|RP|610|4|2|15|408|1355|59|7|0|0|61|2
Josh Sborz|TEX|RP|600|3|0|11|407|1344|60|7|0|0|60|2
Brad Keller|PHI|RP|680|4|2|16|420|1353|61|9|0|0|68|2
Emerson Hancock|SEA|RP|760|4|0|1|435|1316|60|11|2|6|48|2
Brendon Little|TOR|RP|540|3|0|10|356|1386|58|5|0|0|54|2
Ryan Gusto|MIA|RP|550|3|0|1|442|1353|47|8|1|3|41|2
Caleb Ferguson|CIN|RP|580|3|0|10|421|1323|55|6|0|0|58|2
Chase Petty|CIN|RP|500|3|0|1|513|1468|39|8|1|5|31|2
Scott Barlow|ATH|RP|540|3|2|9|425|1383|58|6|0|0|54|2
Brenan Hanifee|DET|RP|580|3|0|11|391|1304|43|6|0|0|58|2
Tyler Wells|BAL|RP|710|4|0|7|436|1213|63|12|1|3|57|2
Jake Bird|NYY|RP|530|3|0|10|392|1289|56|6|0|0|53|2
Ryan Thompson|ARI|RP|640|4|1|16|381|1303|52|7|0|0|64|2
Mitchell Parker|WSN|RP|490|3|0|1|449|1363|38|7|1|3|35|2
Yoendrys Gómez|TBR|RP|600|3|0|1|432|1318|60|9|1|3|47|2
Ryan Johnson|LAA|RP|260|1|0|1|415|1315|24|3|1|2|20|2
Jason Alexander|HOU|RP|440|2|0|1|450|1386|34|6|2|5|23|2
Bailey Falter|KCR|RP|730|4|0|4|457|1344|54|11|2|5|53|2
Jalen Beeks||RP|400|3|0|0|379|1340|36|4|0|0|40|2
Hoby Milner|CHC|RP|600|3|0|13|391|1285|50|7|0|0|60|2
Blade Tidwell|SFG|RP|380|2|0|1|430|1366|33|5|1|3|23|2
Carson Whisenhunt|SFG|RP|290|2|0|1|427|1356|23|4|1|3|15|2
Isaac Mattson|PIT|RP|640|4|2|13|426|1378|60|8|0|0|64|2
Tanner McDougal|CHW|RP|340|1|0|1|477|1470|29|5|2|5|15|2
Tim Herrin|CLE|RP|540|4|0|10|366|1323|57|5|0|0|54|2
Spencer Turnbull||SP|250|1|0|0|490|1466|18|3|2|5|5|2
Cristian Mena|ARI|RP|230|1|0|1|389|1303|22|3|1|2|16|2
Sawyer Gipson-Long|DET|RP|290|1|0|1|407|1242|25|4|1|2|22|2
José Buttó|SFG|RP|640|3|2|13|389|1306|59|6|0|0|64|2
Jordan Hicks|CHW|RP|540|3|0|9|420|1391|50|5|0|0|54|1
Travis Adams|MIN|RP|690|4|0|4|454|1386|54|9|1|3|53|1
Erik Sabrowski|CLE|RP|610|3|0|14|393|1394|73|7|0|0|61|1
